year,pop_deciles,pop_decile,cases_ADI_decile,rate_ADI_decile,cases_claims_decile,rate_claims_decile,cases_crime_decile,rate_crime_decile,cases_health_decile,rate_health_decile
2014,7,4400003,1060880,0.241108926516641,477565,0.10853742599720954,296946,0.06748768125839914,286369,0.06508381926103232
2014,8,4401521,902427,0.2050261716347599,373535,0.08486498190057483,244733,0.055601915792290894,284159,0.06455927394189417
2014,9,4401936,762012,0.17310837776832738,287765,0.06537237251972769,200862,0.045630377179495564,273385,0.06210562806910414
2014,10,4401657,584271,0.1327388753826116,189450,0.04304060947956644,151189,0.03434820114334215,243632,0.05535006475970299
2015,1,4438257,3912553,0.8815516992368851,2331135,0.525236596258396,1245745,0.28068338539205817,335673,0.07563171758643089
2015,2,4437873,2427043,0.5468932977577321,1426110,0.32134988991347885,670835,0.1511613784351197,330098,0.0743820294091336
2015,3,4438605,1890053,0.42582140109336153,1030155,0.23208981200174378,535659,0.12068183584707358,324239,0.07304975324454417
2015,4,4437626,1539885,0.34700648499896114,772925,0.17417533609186533,442073,0.09961925588141046,324887,0.07321189302568536
2015,5,4437865,1282590,0.28901059405817886,585805,0.1320015367750033,371131,0.08362827620939348,325654,0.0733807810737821
2015,6,4438662,1091161,0.24583106350517342,453735,0.10222337271907615,306428,0.06903611944320158,330998,0.07457157134289567
2015,7,4436793,938290,0.21147932752328089,359630,0.08105629449018695,250031,0.05635399262485313,328629,0.07406904040824082
2015,8,4439158,811217,0.18274118650428753,278065,0.06263913111450414,207467,0.04673566473642073,325685,0.07336639065336265
2015,9,4438249,695683,0.1567471766455645,217190,0.048935965512525326,169751,0.038247290767147134,308742,0.06956392036589204
2015,10,4438125,540342,0.12175006337135615,136315,0.03071454724686664,129899,0.029268891705393606,274128,0.0617666244190959
2016,1,4473567,4223563,0.944115288761742,2218865,0.4959945832933764,1622527,0.3626920084129734,382130,0.08541953210938832
2016,2,4473895,2615659,0.5846491703537968,1384730,0.30951329881456763,842072,0.18821899038757056,388857,0.08691688115165867
2016,3,4474618,2064618,0.46140653794357417,993145,0.22195078998922366,681960,0.1524063059684648,389474,0.08704072615807651
2016,4,4473162,1702296,0.3805576457995485,754665,0.1687095168920777,562585,0.1257689750561236,385046,0.0860791538513472
2016,5,4474542,1429416,0.3194552649187336,577235,0.1290042645705415,458481,0.10246434160188908,393700,0.08798665874630297
2016,6,4472587,1219852,0.27273969181594454,452715,0.10121994273113077,385483,0.08618792658477074,381654,0.08533182250004304
2016,7,4474216,1053227,0.23539922971979896,365785,0.08175398773773998,321295,0.07181034621484524,366147,0.08183489576721374
2016,8,4474050,911297,0.20368502810652542,287170,0.06418569305215632,269675,0.06027536572009701,354452,0.07922396933427207
2016,9,4473967,780094,0.17436293115259902,220585,0.049304118693767746,215823,0.04823973891626827,343686,0.07681907354256301
2016,10,4474363,611842,0.13674393427623105,145665,0.03255547214206805,159731,0.035699159858062476,306446,0.06848930227610053
2017,1,4498253,4516380,1.0040297866749603,2337370,0.519617282531685,1759911,0.3912432226466586,419028,0.09315349759117596
2017,2,4498635,2786262,0.6193572050188557,1442100,0.3205639043843299,913210,0.20299713135206568,430946,0.09579483554455963
2017,3,4497553,2201948,0.4895880048550845,1035815,0.23030634658446494,737662,0.16401407609871413,428471,0.09526758217190548
2017,4,4497383,1812544,0.40302193520098245,797780,0.17738760519173039,610102,0.13565711437073516,404662,0.08997721563851689
2017,5,4499209,1522768,0.33845238129635674,615625,0.13682960715983633,509642,0.11327368877507135,397501,0.08834908536144909
2017,6,4497491,1301238,0.2893253149367058,477870,0.10625257504684278,423113,0.09407756457989577,400255,0.08899517530996727
2017,7,4498157,1120011,0.24899330992670998,376205,0.08363536443925812,353966,0.07869133958641283,389840,0.08666660590103903
2017,8,4497975,970773,0.21582445433778533,293210,0.06518711197816796,290154,0.06450769512947493,387409,0.08612964723014245
2017,9,4497214,832284,0.18506657677397606,226935,0.05046124111505479,236552,0.052599676155059553,368797,0.08200565950386172
2017,10,4499589,656661,0.14593799567027121,147195,0.032712987786217805,176133,0.03914424184075479,333333,0.07408076604329862
2018,1,4523248,4929479,1.08980957931115,2709450,0.5990054049656354,1764562,0.39010949653877036,455460,0.10069313024623014
2018,2,4522118,3033970,0.6709179194350966,1663920,0.3679514776040784,924557,0.2044522058026792,445494,0.0985144571636565
2018,3,4523659,2385255,0.5272844394327689,1191035,0.26329018168699275,742478,0.16413217707170236,451741,0.09986185961408674
2018,4,4522722,1961845,0.43377527957721035,900425,0.19908917682758304,611933,0.1353019265831506,449487,0.09938417616647674
2018,5,4522707,1646089,0.3639610083076352,693210,0.153273249847934,518258,0.11459022218330747,434621,0.09609753627639377
2018,6,4522752,1404979,0.31064692470425087,544050,0.12029180463576158,424720,0.09390742627497595,436209,0.09644769379351333
2018,7,4523139,1211472,0.26783877302908443,421200,0.0931211709390315,353016,0.07804668395112332,437256,0.09667091813892963
2018,8,4521207,1051651,0.2326040369308461,333380,0.0737369467931904,288484,0.06380685511634393,429787,0.09506023502131179
2018,9,4523261,906643,0.2004401249452552,254385,0.056239292846466296,238728,0.05277785208503334,413530,0.09142298001375557
2018,10,4523907,717070,0.15850679512200405,163430,0.036125853161879766,177654,0.039270038044548664,375986,0.08311090391557563
2019,1,4546814,5463983,1.2017168505243452,3302395,0.7263096753023106,1677484,0.3689361385796736,484104,0.106471036642361
2019,2,4547412,3457443,0.7603100400843381,2105935,0.46310626791678433,887843,0.19524138125157783,463665,0.10196239091597595
2019,3,4546754,2721344,0.5985245737948436,1537640,0.3381841199237962,725461,0.1595558061861275,458243,0.10078464768491983
2019,4,4547280,2234393,0.4913691261589346,1174765,0.2583445488291902,600155,0.1319810963916891,459473,0.10104348093805528
2019,5,4546891,1873168,0.41196677026126205,897770,0.19744700279817573,512559,0.11272735590098817,462839,0.10179241156209815
2019,6,4547169,1595092,0.35078792980863477,703325,0.15467316037736886,424406,0.09333411623803733,467361,0.10278065319322857
2019,7,4546770,1373010,0.30197480849042285,546775,0.12025569800099851,350350,0.077054700369713,475885,0.10466441011971135
2019,8,4547036,1193482,0.26247471979548875,433250,0.09528184953890842,292585,0.06434631263090945,467647,0.10284655762567088
2019,9,4546497,1030895,0.22674489832501815,335210,0.07372929092441939,239777,0.05273884487331675,455908,0.10027676252728199
2019,10,4547659,817412,0.1797434680128831,219880,0.04835015114369833,181706,0.03995594216716777,415826,0.09143737470201702
2020,1,4570516,7346805,1.6074344778576424,5431445,1.1883658212770725,1402778,0.30691895619663073,512582,0.11214970038393915
2020,2,4569012,5250666,1.149190678422381,3864705,0.8458513569235537,887386,0.1942183561785349,498575,0.10912096532029245
2020,3,4569740,4319134,0.9451596808571165,3080760,0.6741652697965311,740903,0.1621324189122357,497471,0.1088619921483498
2020,4,4567274,3605156,0.7893452418225839,2481760,0.54337882947246,619529,0.13564524484407986,503867,0.1103211675060441
2020,5,4571660,3056211,0.6685123128141638,2021445,0.4421687089591089,526526,0.11517173193107098,508240,0.11117187192398385
2020,6,4570051,2620751,0.5734620904668241,1666390,0.3646326922828651,443914,0.09713545866337159,510447,0.11169393952058741
2020,7,4568412,2275387,0.49806956990744267,1396005,0.3055777368591099,370318,0.08106055233197006,509064,0.11143128071636271
2020,8,4571275,1990923,0.43552903730359693,1178400,0.25778365991982544,308576,0.0675032676878989,503947,0.1102421096958726
2020,9,4570092,1713650,0.3749705695202635,966445,0.21147167278032916,259353,0.05675006104909923,487852,0.10674883569083511
2020,10,4569866,1342117,0.2936884801436191,688010,0.1505536486190186,196342,0.04296449830257605,457765,0.10017033322202445
2021,1,4570949,7805207,1.7075681658228958,5881285,1.2866660730627273,1415664,0.3097089904087751,508258,0.11119310235139356
2021,2,4568540,5527052,1.2098070718435212,4160625,0.9107121750055817,858549,0.18792633970590167,507878,0.11116855713203781
2021,3,4570182,4473693,0.9788872740735489,3224195,0.7054850331999907,733132,0.16041636853849583,516366,0.11298587233506237
2021,4,4570006,3686628,0.8067009102395052,2551315,0.5582738841043097,609181,0.13329982498928886,526132,0.11512720114590659
2021,5,4568687,3074758,0.6730069273732256,2025495,0.44334291230719025,525008,0.11491441633011848,524255,0.1147495987359169
2021,6,4569351,2606721,0.570479483847925,1644350,0.3598651099466861,431008,0.09432586815939506,531363,0.11628850574184386
2021,7,4569740,2233391,0.48873480766958294,1352300,0.2959249322718579,356187,0.07794469707248115,524904,0.11486517832524389
2021,8,4570034,1928892,0.4220738839142116,1111285,0.24316777511939736,295314,0.06461965053214046,522293,0.11428645826267375
2021,9,4569851,1654037,0.36194549887950395,900020,0.19694734029621536,246504,0.053941364827868564,507513,0.11105679375542003
2021,10,4570558,1278119,0.2796417855325323,618190,0.13525482008980086,184030,0.040264230319361445,475899,0.10412273512337006
