lc_p,lc_L,lc_g,lc_p_claims,lc_L_claims,lc_g_claims,lc_p_crime,lc_L_crime,lc_g_crime,lc_p_health,lc_L_health,lc_g_health,pop_bins,cases_group_claims,cases_group_crime,cases_group_health,cases_group,pop_group,year
0.9,0.7435156588059455,14213943.403055163,0.9,0.6963446329561659,6179700,0.9,0.7101697542606871,4295575.65579682,0.9,0.8914191806763074,3738667.747258341,9,237635,224768.74463846663,409761.2588404139,872165.0034788805,4521051,2018
1,1,19117207.8687383,1,1,8874485,1,1,6048660.380177235,1,1,4194062.488561067,10,370345,288770.19435017667,281750.29316655925,940865.4875167359,4524625,2018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
0.1,0.037563074021561386,817536.05240792525,0.1,0.019532830621451912,219880,0.1,0.030838602930776254,181838.34965617472,0.1,0.09018034572039504,415817.7027517506,1,3302395,1678627.8540168568,484086.47977230174,5465109.333789159,4546814,2019
0.2,0.08493698957499558,1848598.736107078,0.2,0.04931089207595844,555090,0.2,0.07153267118790203,421788.9800164981,0.2,0.18905397354493939,871719.7560905799,2,2105935,888477.2478399936,463677.6804724258,3458089.9283124194,4547412,2019
0.3,0.13978352408945957,3042298.1465832307,0.3,0.08779824366202375,988340,0.3,0.12118889774594974,714584.5488604212,0.3,0.2884333050347512,1329953.5873205322,3,1537640,725964.6484927109,458233.8312299522,2721838.479722663,4546754,2019
0.4,0.20287987082546757,4415549.393334454,0.4,0.1363704806232952,1535115,0.4,0.1806482381186425,1065183.7102194815,0.4,0.3880838539713548,1789437.9905545088,4,1174765,600574.5311288119,459484.4032339768,2234823.9343627887,4547280,2019
0.5,0.27618328892360083,6010950.957795246,0.5,0.19884968790377852,2238440,0.5,0.2526759528151948,1489891.6906466996,0.5,0.4884654888221503,2252293.3995539322,5,897770,512916.27846323163,462855.4089994236,1873541.6874626554,4546891,2019
0.6,0.36226632450516233,7884492.645257901,0.6,0.27860223177780474,3136210,0.6,0.3396632218822947,2002807.969109931,0.6,0.5890254535641954,2715971.0800263584,6,703325,424707.98042721784,467368.5840335733,1595401.5644607912,4547169,2019
0.7,0.46494908280600306,10119316.57962069,0.7,0.38296136296304195,4310975,0.7,0.44151676119805716,2603382.500238743,0.7,0.6903858819636611,3183339.6640599314,7,546775,350599.1613590604,475877.0853921633,1373251.2467512237,4546770,2019
0.8,0.5900085465292514,12841155.059343353,0.8,0.5195561495592277,5848615,0.8,0.5646356499197083,3329347.148731454,0.8,0.7918081755234988,3650993.505692161,8,433250,292795.56884392316,467653.8416322297,1193699.4104761528,4547036,2019
0.9,0.7488963259339949,16299244.98765577,0.9,0.7066348818440528,7954550,0.9,0.7153156198544004,4217824.396571447,0.9,0.8950138827290431,4126870.5910843248,9,335210,239950.63036032335,455902.0533388292,1031062.6836991525,4546497,2019
1,1,21764354.32144493,1,1,11256945,1,1,5896452.250588304,1,1,4610957.070856626,10,219880,181838.34965617472,415817.7027517506,817536.05240792525,4547659,2019
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020
0.1,0.04003825854306127,1342279.8581241423,0.1,0.030208516965589793,688010,0.1,0.03411324646556385,196481.167784394,0.1,0.091743198810649,457788.69033974805,1,5431445,1403771.036132331,512573.11664026836,7347789.1527726,4570516,2020
0.2,0.09116009748760574,3056135.9853012916,0.2,0.07264230452508665,1654455,0.2,0.07917438296972575,456018.60966836073,0.2,0.189515584736388,945662.3756329308,2,3864705,888012.8472975715,498597.7232957284,5251315.5705933,4569012,2020
0.3,0.15055317328717785,5047284.75796993,0.3,0.1243824193377362,2832855,0.3,0.1327872544743142,764811.2545469368,0.3,0.2892065874861084,1443109.752431323,3,3080760,741423.321754656,497447.37679839204,4319630.698553048,4569740,2020
0.4,0.21843238772194898,7322930.743498761,0.4,0.1856769364618306,4228860,0.4,0.19712729418511438,1135388.8877966355,0.4,0.38912812556715803,1941707.4757270513,4,2481760,619962.8230699293,503857.94251075154,3605580.7655806807,4567274,2020
0.5,0.29661564501438276,9944019.055651598,0.5,0.2588432721056282,5895250,0.5,0.2742542518488037,1579614.9958194129,0.5,0.4901038385271748,2445565.4182378026,5,2021445,526888.6552616317,508262.17920921376,3056595.8344708453,4571660,2020
0.6,0.38778945913479795,13000614.890122442,0.6,0.34759903957631416,7916695,0.6,0.36573315926538086,2106503.651081044,0.6,0.591099228320172,2949521.5460278653,6,1666390,444226.1080227771,510472.2041300583,2621088.312152835,4570051,2020
0.7,0.4953386963646221,16606195.655703124,0.7,0.4565658991634163,10398455,0.7,0.47337169186041694,2726466.4741509734,0.7,0.6929575728776106,3457783.725237079,7,1396005,370577.6332496987,509063.35227913264,2275645.9855288314,4568412,2020
0.8,0.624187005957014,20925826.354256175,0.8,0.5918331056384827,13479215,0.8,0.6020983112893481,3467889.79590563,0.8,0.794976476622697,3966847.077516211,8,1178400,308792.64487857604,503956.1277900625,1991148.7726686385,4571275,2020
0.9,0.7808261220355719,26177141.92484947,0.9,0.7615210557547596,17343920,0.9,0.7562759429985141,4355902.643203201,0.9,0.8972777214963035,4477319.28164627,9,966445,259537.44188396676,487873.68529318273,1713856.1271771495,4570092,2020
1,1,33524931.07762207,1,1,22775365,1,1,5759673.679335532,1,1,4989892.398286538,10,688010,196481.16778439397,457788.69033974805,1342279.858124142,4569866,2020
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
0.1,0.0372968583460183,1278252.3180181482,0.1,0.026340637417945158,618190,0.1,0.03254586225973418,184162.1930681822,0.1,0.09250151760592146,475900.12494996574,1,5881285,1416645.2556648946,508259.4118313149,7806189.667496209,4570949,2021
0.2,0.08556366094955146,2932470.7977330023,0.2,0.06468985123392244,1518210,0.2,0.07613993212971751,430841.1548345885,0.2,0.1911489504675809,983419.6428984134,2,4160625,859158.8973366063,507852.3290771264,5527636.226413732,4568540,2021
0.3,0.1418499223621389,4861535.26358489,0.3,0.11204091684967357,2629495,0.3,0.1283657086950532,726363.0085868097,0.3,0.28986107239500214,1491271.9719755396,3,3224195,733650.5807244669,516329.70769886277,4474175.28842333,4570182,2021
0.4,0.20702360492922361,7095192.855928691,0.4,0.1696614606635289,3981795,0.4,0.191357228126345,1082803.2918579667,0.4,0.3886523196904984,1999531.3838068545,4,2551315,609607.7636374969,526138.1849219581,3687060.948559455,4570006,2021
0.5,0.283090986359382,9702203.498396141,0.5,0.23972604782637225,5626145,0.5,0.2675799646391907,1514112.9989364885,0.5,0.4890122041351349,2515861.091505717,5,2025495,525368.486909492,524256.67456384393,3075120.1614733357,4568687,2021
0.6,0.3728168718068493,12777323.659869477,0.6,0.32603095309313623,7651640,0.6,0.3604251362007115,2039481.4858459807,0.6,0.5905243054516516,3038118.703605384,6,1644350,431309.70707852195,531350.9353889269,2607010.642467449,4569351,2021
0.7,0.4803979713856615,16464384.608428933,0.7,0.43474067559586965,10202955.000000002,0.7,0.4681574018588704,2649089.2494834773,0.7,0.6924249679431517,3562375.3781692274,7,1352300,356440.28327115683,524917.3090726438,2233657.5923438007,4569740,2021
0.8,0.6109455006921652,20938559.896852266,0.8,0.5721213376249411,13427150,0.8,0.5978109987738052,3382739.830207944,0.8,0.7944540390889957,4087292.6872418723,8,1111285,295521.8537522213,522257.6120996672,1929064.4658518885,4570034,2021
0.9,0.7722309233108512,26466196.123265993,0.9,0.7494026177443834,17587775,0.9,0.7496449157471435,4241898.727544551,0.9,0.896720413952467,4613430.87216383,9,900020,246678.96176640634,507519.51794844744,1654218.479714854,4569851,2021
1,1,34272385.7907622,1,1,23469060,1,1,5658543.983209445,1,1,5144781.807552757,10,618190,184162.19306818218,475900.12494996586,1278252.3180181482,4570558,2021
